unit_id,record_id,source,speaker,text,original_text,metadata,quality_flags,assignment_index,code_id,theme_id,theme_title,code_title,definition,evidence,confidence,sentiment
U0001,R1,survey:text,,"The setup checklist was clear, but I could not find billing settings after signup.","The setup checklist was clear, but I could not find billing settings after signup.","{""segment"": ""new"", ""role"": ""admin""}",,1,T05_C01,T05,Positive onboarding and product cues,Clear setup guidance,Onboarding instructions or checklists are easy to understand and help users complete initial setup.,"""The setup checklist was clear""",0.950,positive
U0001,R1,survey:text,,"The setup checklist was clear, but I could not find billing settings after signup.","The setup checklist was clear, but I could not find billing settings after signup.","{""segment"": ""new"", ""role"": ""admin""}",,2,T01_C01,T01,Account setup and settings discoverability,Hidden billing settings,"Users cannot find billing-related settings, plans, or payment controls after signup or during early setup.","""could not find billing settings after signup""",0.980,negative
U0002,R2,survey:text,,"I liked the dashboard because it showed progress quickly, yet inviting teammates was confusing.","I liked the dashboard because it showed progress quickly, yet inviting teammates was confusing.","{""segment"": ""new"", ""role"": ""manager""}",,1,T05_C02,T05,Positive onboarding and product cues,Quick progress visibility,"The product provides immediate visibility into progress or status, helping users feel oriented early in onboarding.","""the dashboard because it showed progress quickly""",0.930,positive
U0002,R2,survey:text,,"I liked the dashboard because it showed progress quickly, yet inviting teammates was confusing.","I liked the dashboard because it showed progress quickly, yet inviting teammates was confusing.","{""segment"": ""new"", ""role"": ""manager""}",,2,T02_C01,T02,Team collaboration setup friction,Confusing teammate invitations,Users struggle to understand how to invite teammates or add collaborators during onboarding.,"""inviting teammates was confusing""",0.970,negative
U0003,R3,survey:text,,"Support replied fast, but the answer did not solve my account access problem.","Support replied fast, but the answer did not solve my account access problem.","{""segment"": ""returning"", ""role"": ""admin""}",,1,T03_C01,T03,Support and issue resolution gaps,Fast but ineffective support,"Support responds quickly, but the response does not resolve the user’s onboarding blocker or account issue.","""Support replied fast, but the answer did not solve""",0.960,negative
U0003,R3,survey:text,,"Support replied fast, but the answer did not solve my account access problem.","Support replied fast, but the answer did not solve my account access problem.","{""segment"": ""returning"", ""role"": ""admin""}",,2,T03_C02,T03,Support and issue resolution gaps,Account access unresolved,Users remain unable to access their account or continue onboarding because the underlying access problem is not fixed.,"""my account access problem""",0.970,negative
U0004,R4,survey:text,,"The product feels fast and the reports are useful, although the navigation takes a while to learn.","The product feels fast and the reports are useful, although the navigation takes a while to learn.","{""segment"": ""returning"", ""role"": ""manager""}",,1,T05_C03,T05,Positive onboarding and product cues,Fast product performance,The product responds quickly or feels speedy during use.,"""The product feels fast""",0.980,positive
U0004,R4,survey:text,,"The product feels fast and the reports are useful, although the navigation takes a while to learn.","The product feels fast and the reports are useful, although the navigation takes a while to learn.","{""segment"": ""returning"", ""role"": ""manager""}",,2,T05_C04,T05,Positive onboarding and product cues,Useful reports,Reports provide valuable information to the user during onboarding or early use.,"""the reports are useful""",0.970,positive
U0004,R4,survey:text,,"The product feels fast and the reports are useful, although the navigation takes a while to learn.","The product feels fast and the reports are useful, although the navigation takes a while to learn.","{""segment"": ""returning"", ""role"": ""manager""}",,3,T04_C01,T04,Navigation and learnability,Slow navigation learning,Users need too much time to learn how to move around the product or understand where things are located.,"""the navigation takes a while to learn""",0.960,negative
U0005,R5,survey:text,,"I want one place to manage billing, teammates, and permissions without hunting through menus.","I want one place to manage billing, teammates, and permissions without hunting through menus.","{""segment"": ""small_team"", ""role"": ""owner""}",,1,T01_C01,T01,Account setup and settings discoverability,Hidden billing settings,"Users cannot find billing-related settings, plans, or payment controls after signup or during early setup.","""manage billing""",0.860,negative
U0005,R5,survey:text,,"I want one place to manage billing, teammates, and permissions without hunting through menus.","I want one place to manage billing, teammates, and permissions without hunting through menus.","{""segment"": ""small_team"", ""role"": ""owner""}",,2,T01_C02,T01,Account setup and settings discoverability,Hidden account management controls,"Users cannot easily find places to manage core account settings such as teammates, permissions, or similar administrative controls.","""manage ... teammates, and permissions""",0.900,negative
U0005,R5,survey:text,,"I want one place to manage billing, teammates, and permissions without hunting through menus.","I want one place to manage billing, teammates, and permissions without hunting through menus.","{""segment"": ""small_team"", ""role"": ""owner""}",,3,T04_C02,T04,Navigation and learnability,Menu hunting,Users have to search through menus to find functions or settings instead of reaching them through a clear path.,"""without hunting through menus""",0.960,negative
U0006,R6,survey:text,,"The onboarding emails were helpful, but they repeated steps I had already finished in the app.","The onboarding emails were helpful, but they repeated steps I had already finished in the app.","{""segment"": ""small_team"", ""role"": ""owner""}",,1,T05_C05,T05,Positive onboarding and product cues,Helpful onboarding emails,Onboarding emails are perceived as useful guidance for new users.,"""The onboarding emails were helpful""",0.950,positive
U0006,R6,survey:text,,"The onboarding emails were helpful, but they repeated steps I had already finished in the app.","The onboarding emails were helpful, but they repeated steps I had already finished in the app.","{""segment"": ""small_team"", ""role"": ""owner""}",,2,T05_C06,T05,Positive onboarding and product cues,Duplicate onboarding steps,"Onboarding emails or other guidance repeat actions the user has already completed, creating redundancy and potential frustration.","""they repeated steps I had already finished in the app""",0.980,negative
