theme_id,theme_title,code_id,code_title,definition,include,exclude
T01,Account setup and settings discoverability,T01_C01,Hidden billing settings,"Users cannot find billing-related settings, plans, or payment controls after signup or during early setup.",Billing settings are hard to locate; Payment or subscription controls are buried in menus; Users say they had to hunt for billing,General confusion about pricing before signup; Problems paying due to a technical error; Lack of billing access because of permissions
T01,Account setup and settings discoverability,T01_C02,Hidden account management controls,"Users cannot easily find places to manage core account settings such as teammates, permissions, or similar administrative controls.","Hunting through menus to manage account-related settings; Difficulty finding team, permission, or admin controls; Need for a single place to manage key account tasks",Issues with the invite flow itself once opened; Problems unrelated to account management; General navigation unfamiliarity without a specific settings target
T02,Team collaboration setup friction,T02_C01,Confusing teammate invitations,Users struggle to understand how to invite teammates or add collaborators during onboarding.,Invitation process is unclear; Users cannot figure out how to add teammates; Collaboration setup creates early friction,Permission management after teammates are already added; General account settings discoverability without invite context
T03,Support and issue resolution gaps,T03_C01,Fast but ineffective support,"Support responds quickly, but the response does not resolve the user’s onboarding blocker or account issue.",Quick support reply that fails to fix the issue; User still blocked after contacting support; Support answers are not actionable,Slow support response; No support available; Self-serve help articles that are hard to find
T03,Support and issue resolution gaps,T03_C02,Account access unresolved,Users remain unable to access their account or continue onboarding because the underlying access problem is not fixed.,Login or access issue remains unresolved; User cannot proceed due to account access problems; Onboarding stalls because access is blocked,General confusion about where to click; Feature discoverability issues not tied to access
T04,Navigation and learnability,T04_C01,Slow navigation learning,Users need too much time to learn how to move around the product or understand where things are located.,Navigation takes time to learn; Users are not immediately oriented; Menu structure is hard to remember,Specific settings are hidden but navigation is otherwise learned; Search is unavailable or broken; Invite or billing tasks that are clearly identified but hard to complete
T04,Navigation and learnability,T04_C02,Menu hunting,Users have to search through menus to find functions or settings instead of reaching them through a clear path.,Hunting through menus; Multiple clicks to locate tasks; Lack of obvious entry points,Unable to find a specific billing or account setting when the issue is really discoverability of that feature; General desire for consolidation without explicit menu searching
T05,Positive onboarding and product cues,T05_C01,Clear setup guidance,Onboarding instructions or checklists are easy to understand and help users complete initial setup.,Checklist is clear; Instructions are easy to follow; Onboarding guidance reduces uncertainty,Checklist is present but users cannot find related settings; Emails that duplicate completed steps
T05,Positive onboarding and product cues,T05_C02,Quick progress visibility,"The product provides immediate visibility into progress or status, helping users feel oriented early in onboarding.",Dashboard shows progress quickly; Users can immediately see what has happened; Early feedback or status visibility,General performance speed without progress feedback; Reports being useful but not about progress
T05,Positive onboarding and product cues,T05_C03,Fast product performance,The product responds quickly or feels speedy during use.,Product feels fast; Responsive interface; Low-latency interaction,Navigation learnability; Fast support response
T05,Positive onboarding and product cues,T05_C04,Useful reports,Reports provide valuable information to the user during onboarding or early use.,Reports are useful; Analytics or reports help users understand value,Progress visibility on the dashboard; General dashboard satisfaction
T05,Positive onboarding and product cues,T05_C05,Helpful onboarding emails,Onboarding emails are perceived as useful guidance for new users.,Emails help users understand steps; Email guidance supports onboarding,In-app guidance; Duplicate or redundant messaging
T05,Positive onboarding and product cues,T05_C06,Duplicate onboarding steps,"Onboarding emails or other guidance repeat actions the user has already completed, creating redundancy and potential frustration.",Emails repeat completed in-app steps; Duplicate instructions across channels; Redundant onboarding prompts,Helpful reminders for incomplete tasks; Clear checklist guidance without repetition
